component,risk_level,story_points,num_stories,actual_bugs,test_coverage,code_churn,team_velocity,team_size,complexity_score,team_experience,dependencies,previous_bugs
Email Service,medium,39,5,15,65.0,7477,56,4,2,3.0502135295603017,2,15
User Authentication,low,38,3,10,65.0,3624,44,1,3,3.0990213464750793,3,10
User Authentication,critical,19,5,11,65.0,3857,64,4,2,5.227961206236346,2,11
Payment Gateway,critical,20,8,17,65.0,6319,41,2,2,4.986212527455788,2,17
Email Service,low,35,4,6,65.0,6567,57,3,4,4.369894380482673,2,6
Email Service,critical,28,4,16,65.0,5348,41,4,3,4.782355145850692,3,16
Payment Gateway,low,10,6,5,65.0,5008,34,4,3,4.766653415629146,2,5
Email Service,critical,36,8,18,65.0,5378,60,5,4,3.454010424915592,2,18
Email Service,low,35,6,8,65.0,2507,46,4,4,3.469608796062266,3,8
Payment Gateway,critical,23,3,12,65.0,3208,50,4,3,2.654436253749968,2,12
Frontend Dashboard,critical,31,8,12,65.0,6169,42,7,3,4.107324052224275,1,12
Frontend Dashboard,critical,16,7,13,65.0,4249,55,3,2,4.572813214307398,2,13
API Gateway,critical,23,7,11,65.0,5233,60,2,2,5.19164727385998,5,11
Payment Gateway,critical,34,4,19,65.0,6876,51,6,2,2.804414628598096,3,19
Email Service,critical,53,3,22,65.0,3238,56,6,3,5.047670231482534,3,22
User Authentication,critical,23,4,8,65.0,4458,59,5,3,4.230711653879077,3,8
Email Service,low,20,5,6,65.0,5641,49,3,4,3.450766015468833,2,6
User Authentication,medium,15,9,7,65.0,3513,58,5,3,4.591047222985804,4,7
Email Service,critical,38,7,18,65.0,5803,59,6,4,3.5139854705546076,2,18
Email Service,low,39,5,8,65.0,5449,46,5,2,4.967801681978974,2,8
Email Service,low,24,4,7,65.0,4931,44,8,3,5.427556238387604,3,7
Email Service,low,39,3,7,65.0,7613,47,4,2,4.147679994118361,4,7
Payment Gateway,critical,55,3,22,65.0,6958,44,5,3,2.7935024819530043,3,22
User Authentication,critical,40,3,13,65.0,7052,48,4,3,4.009408775740264,4,13
